"spkid","full_name","name","prefix","epoch_mjd","a","e","i","om","w","ma","H","G","diameter","albedo","rot_per","q","moid"
2000433,"   433 Eros (A898 PA)",Eros,,59800,1.458,0.2227,10.83,304.29,178.93,358.82,10.31,0.46,16.84,0.25,5.27,1.133,0.15
2000719,"   719 Albert (A911 TB)",Albert,,59800,2.637,0.5470,11.58,183.86,156.25,324.20,15.59,,,,5.801,1.195,0.201
2000887,"   887 Alinda (A918 AA)",Alinda,,59800,2.473,0.5706,9.40,110.43,350.48,137.32,13.83,-0.12,4.2,0.31,28.41,1.062,0.0824
2001036,"  1036 Ganymed (A924 UB)",Ganymed,,59800,2.666,0.5331,26.68,215.51,132.45,185.91,9.23,0.30,37.675,0.238,10.297,1.245,0.345
2001221,"  1221 Amor (1932 EA1)",Amor,,59800,1.919,0.4359,11.88,171.32,26.63,335.22,17.38,,1.0,,,1.083,0.107
2001566,"  1566 Icarus (1949 MA)",Icarus,,59800,1.078,0.8269,22.80,87.96,31.44,176.44,16.51,,1.0,0.51,2.2726,0.187,0.034
2001580,"  1580 Betulia (1950 KA)",Betulia,,59800,2.197,0.4871,52.08,62.28,159.53,77.14,14.73,0.00,5.8,0.08,6.1324,1.127,0.137
2001620,"  1620 Geographos (1951 RA)",Geographos,,59800,1.246,0.3354,13.34,337.18,276.97,82.26,15.34,,2.56,0.290,5.22204,0.828,0.0301
2001627,"  1627 Ivar (1929 SH)",Ivar,,59800,1.863,0.3966,8.45,133.12,167.81,206.52,12.76,0.60,9.12,0.15,4.795,1.124,0.112
2001685,"  1685 Toro (1948 OA)",Toro,,59800,1.368,0.4360,9.38,274.23,127.21,63.33,14.31,,3.4,0.31,10.1995,0.771,0.0502
2001862,"  1862 Apollo (1932 HA)",Apollo,,59800,1.471,0.5600,6.35,35.56,286.05,170.73,16.11,0.09,1.5,0.25,3.065,0.647,0.0258
2001863,"  1863 Antinous (1948 EA)",Antinous,,59800,2.259,0.6059,18.40,346.42,268.08,302.06,15.44,,2.1,0.24,7.453,0.890,0.184
2001864,"  1864 Daedalus (1971 FA)",Daedalus,,59800,1.461,0.6145,22.22,6.61,325.66,307.73,14.77,,3.7,0.273,8.572,0.563,0.269
2001865,"  1865 Cerberus (1971 UA)",Cerberus,,59800,1.08,0.4670,16.10,212.89,325.28,345.84,16.79,,1.2,0.22,6.8039,0.576,0.157
2001866,"  1866 Sisyphus (1972 XA)",Sisyphus,,59800,1.893,0.5384,41.21,63.47,293.08,46.81,12.45,,8.48,0.15,2.4,0.874,0.104
2001915,"  1915 Quetzalcoatl (1953 EA)",Quetzalcoatl,,59800,2.544,0.5705,20.40,162.94,347.81,90.00,18.05,0.10,0.5,0.21,4.9,1.092,0.11
2001916,"  1916 Boreas (1953 RA)",Boreas,,59800,2.272,0.4499,12.88,340.60,335.90,49.80,14.95,,3.5,,3.4746,1.250,0.251
2001917,"  1917 Cuyo (1968 AA)",Cuyo,,59800,2.15,0.5055,23.96,188.29,194.52,144.80,14.36,,5.7,0.195,2.689,1.063,0.0729
2001943,"  1943 Anteros (1973 EC)",Anteros,,59800,1.43,0.2561,8.71,246.31,338.37,289.13,15.69,,2.3,0.17,2.86923,1.064,0.0626
2001980,"  1980 Tezcatlipoca (1950 LA)",Tezcatlipoca,,59800,1.709,0.3648,26.87,246.56,115.46,42.36,13.81,,4.3,0.25,7.24612,1.086,0.246
2001981,"  1981 Midas (1973 EA)",Midas,,59800,1.777,0.6500,39.83,356.85,267.82,285.79,15.28,,3.4,,5.22,0.622,0.00503
2002059,"  2059 Baboquivari (1963 UA)",Baboquivari,,59800,2.643,0.5316,11.02,200.69,192.43,227.75,15.98,,,,129.47,1.238,0.246
2002061,"  2061 Anza (1960 UA)",Anza,,59800,2.264,0.5361,3.80,207.37,157.04,52.01,16.48,,2.6,,6.712,1.050,0.0552
2002062,"  2062 Aten (1976 AA)",Aten,,59800,0.9669,0.1828,18.93,108.54,148.05,228.79,17.11,,1.1,0.26,42.15,0.790,0.115
2002063,"  2063 Bacchus (1977 HB)",Bacchus,,59800,1.078,0.3494,9.43,33.07,55.37,258.14,17.29,,1.024,0.203,14.904,0.701,0.0675
2002100,"  2100 Ra-Shalom (1978 RA)",Ra-Shalom,,59800,0.832,0.4366,15.76,170.79,356.08,130.68,16.35,0.12,2.3,0.13,19.797,0.469,0.15
2002101,"  2101 Adonis (1936 CA)",Adonis,,59800,1.874,0.7643,1.32,349.48,43.62,283.47,18.73,,0.6,,,0.442,0.0116
2002102,"  2102 Tantalus (1975 YA)",Tantalus,,59800,1.29,0.2993,64.00,94.36,61.53,260.13,15.97,,1.649,0.245,2.384,0.904,0.0443
2002135,"  2135 Aristaeus (1977 HA)",Aristaeus,,59800,1.599,0.5031,23.07,191.13,290.98,172.61,18.05,,,,,0.795,0.00998
2002201,"  2201 Oljato (1947 XC)",Oljato,,59800,2.175,0.7128,2.52,74.97,98.29,89.03,15.35,,1.80,0.4328,26,0.625,0.00307
2002202,"  2202 Pele (1972 RA)",Pele,,59800,2.291,0.5126,8.74,169.93,217.92,128.55,17.14,,,,,1.117,0.145
2002212,"  2212 Hephaistos (1978 SB)",Hephaistos,,59800,2.16,0.8373,11.54,27.51,209.41,297.44,13.53,,5.7,0.163,48,0.351,0.116
2002329,"  2329 Orthos (1976 WA)",Orthos,,59800,2.409,0.6539,24.48,169.27,146.08,115.22,14.56,,,,4.6473,0.834,0.0946
2002340,"  2340 Hathor (1976 UA)",Hathor,,59800,0.8438,0.4499,5.86,211.31,40.09,116.13,20.32,,0.3,,3.35,0.464,0.00682
2002368,"  2368 Beltrovata (1977 RA)",Beltrovata,,59800,2.105,0.4133,5.22,287.32,43.09,260.44,15.20,,2.3,0.27,5.9,1.235,0.233
2002608,"  2608 Seneca (1978 DA)",Seneca,,59800,2.519,0.5707,14.67,167.33,37.44,77.52,17.46,,0.9,0.21,8,1.081,0.135
2003102,"  3102 Krok (1981 QA)",Krok,,59800,2.151,0.4496,8.44,172.05,154.81,351.74,16.19,,1.6,,149.4,1.184,0.183
2003103,"  3103 Eger (1982 BB)",Eger,,59800,1.404,0.3542,20.93,129.75,254.08,190.19,15.25,,1.5,0.64,5.7103,0.907,0.0793
2003122,"  3122 Florence (1981 ET3)",Florence,,59800,1.769,0.4233,22.14,336.06,27.86,25.58,13.87,,4.9,0.231,2.3581,1.020,0.0442
2003199,"  3199 Nefertiti (1982 RA)",Nefertiti,,59800,1.575,0.2841,32.96,339.99,53.39,39.91,14.97,,2.2,0.42,3.021,1.127,0.216
2003200,"  3200 Phaethon (1983 TB)",Phaethon,,59800,1.271,0.8898,22.26,265.22,322.18,59.00,14.40,,6.25,0.1066,3.604,0.140,0.0192
2003271,"  3271 Ul (1982 RB)",Ul,,59800,2.101,0.3961,25.08,158.81,159.11,45.68,16.59,,,,,1.269,0.275
2003288,"  3288 Seleucus (1982 DV)",Seleucus,,59800,2.033,0.4563,5.93,218.62,349.28,329.28,15.35,,2.8,0.22,75,1.105,0.102
2003352,"  3352 McAuliffe (1981 CW)",McAuliffe,,59800,1.879,0.3690,4.77,107.34,16.13,41.57,15.95,,,,2.206,1.186,0.204
2003360,"  3360 Syrinx (1981 VA)",Syrinx,,59800,2.467,0.7458,21.15,242.50,63.54,206.13,16.05,,1.8,0.17,,0.627,0.107
