"spkid","full_name","pdes","name","pha","H","G","diameter","albedo","rot_per","epoch_mjd","e","a","q","i","om","w","ma","ad","moid","moid_jup","t_jup","class"
2000433,"   433 Eros (A898 PA)",433,Eros,N,10.31,0.46,16.84,0.25,5.27,59800,0.2227,1.458,1.133,10.83,304.29,178.93,358.82,1.78,0.15,3.29,4.58,AMO
2000719,"   719 Albert (A911 TB)",719,Albert,N,15.59,,,,5.801,59800,0.5470,2.637,1.195,11.58,183.86,156.25,324.20,4.08,0.201,1.42,3.14,AMO
2000887,"   887 Alinda (A918 AA)",887,Alinda,N,13.83,-0.12,4.2,0.31,28.41,59800,0.5706,2.473,1.062,9.40,110.43,350.48,137.32,3.88,0.0824,1.32,3.22,AMO
2001036,"  1036 Ganymed (A924 UB)",1036,Ganymed,N,9.23,0.30,37.675,0.238,10.297,59800,0.5331,2.666,1.245,26.68,215.51,132.45,185.91,4.09,0.345,1.95,3.03,AMO
2001221,"  1221 Amor (1932 EA1)",1221,Amor,N,17.38,,1.0,,,59800,0.4359,1.919,1.083,11.88,171.32,26.63,335.22,2.76,0.107,2.21,3.78,AMO
2001566,"  1566 Icarus (1949 MA)",1566,Icarus,Y,16.51,,1.0,0.51,2.2726,59800,0.8269,1.078,0.187,22.80,87.96,31.44,176.44,1.97,0.034,3.22,5.3,APO
2001580,"  1580 Betulia (1950 KA)",1580,Betulia,N,14.73,0.00,5.8,0.08,6.1324,59800,0.4871,2.197,1.127,52.08,62.28,159.53,77.14,3.27,0.137,1.86,3.07,AMO
2001620,"  1620 Geographos (1951 RA)",1620,Geographos,Y,15.34,,2.56,0.290,5.22204,59800,0.3354,1.246,0.828,13.34,337.18,276.97,82.26,1.66,0.0301,3.45,5.07,APO
2001627,"  1627 Ivar (1929 SH)",1627,Ivar,N,12.76,0.60,9.12,0.15,4.795,59800,0.3966,1.863,1.124,8.45,133.12,167.81,206.52,2.60,0.112,2.65,3.88,AMO
2001685,"  1685 Toro (1948 OA)",1685,Toro,N,14.31,,3.4,0.31,10.1995,59800,0.4360,1.368,0.771,9.38,274.23,127.21,63.33,1.96,0.0502,3.48,4.71,APO
2001862,"  1862 Apollo (1932 HA)",1862,Apollo,Y,16.11,0.09,1.5,0.25,3.065,59800,0.5600,1.471,0.647,6.35,35.56,286.05,170.73,2.29,0.0258,3.07,4.41,APO
2001863,"  1863 Antinous (1948 EA)",1863,Antinous,N,15.44,,2.1,0.24,7.453,59800,0.6059,2.259,0.890,18.40,346.42,268.08,302.06,3.63,0.184,2.02,3.3,APO
2001864,"  1864 Daedalus (1971 FA)",1864,Daedalus,N,14.77,,3.7,0.273,8.572,59800,0.6145,1.461,0.563,22.22,6.61,325.66,307.73,2.36,0.269,3.12,4.34,APO
